"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"NUOUPUS","199103","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199104","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199105","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199106","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199107","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199108","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199109","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199110","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199111","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199112","111","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199113","111","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199201","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199202","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199203","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199204","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199205","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199206","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199207","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199208","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199209","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199210","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199211","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199212","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199213","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199301","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199302","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199303","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199304","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199305","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199306","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199307","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199308","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199309","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199310","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199311","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199312","110","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199313","110","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199401","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199402","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199403","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199404","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199405","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199406","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199407","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199408","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199409","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199410","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199411","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199412","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199413","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199501","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199502","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199503","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199504","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199505","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199506","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199507","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199508","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199509","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199510","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199511","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199512","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199513","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199601","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199602","110","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199603","110","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199604","110","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199605","110","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199606","110","1","Nuclear Generating Units, Total Operable Units","Number"
